object_name,RA,DEC,Redshift,hostRA,hostDec,Rpar,E(B-V),local,u-g,local.1,u-g.1,min,local.2,u-g.2,max,global,u-g.3,global.1,u-g.4,min.1,global.2,u-g.5,max.1,localmass,localmass_min,localmass_max,globalmass,globalmass_min,globalmass_max,localssfr,localssfr_min,localssfr_max,globalssfr,globalssfr_min,globalssfr_max,incl,hubble_resid,hubble_residerr,residbiascor,c,cerr,cbiascor,x1,x1err,x1biascor,mb,mberr,mbbiascor,r_a,r_b,theta,survey,host_ra,host_dec,host_Pcc,RA_deg,DEC_deg,prob_host_ra,prob_host_dec,prob_host_score,prob_host_2_ra,prob_host_2_dec,prob_host_2_score,prob_host_flag,sn_ra_deg,sn_dec_deg,prob_association_time,agreement_w_Pcc,prob_host_ls_id,prob_host_z_phot_median,prob_host_z_phot_std,prob_host_xr,prob_host_yr,prob_host_2_ls_id,prob_host_2_z_phot_median,prob_host_2_z_phot_std
ASASSN-15ss,06:12:33.385,-14:15:26.93,0.03619,06:12:34.825,-14:15:27.97,3.649,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.2,7.782,8.227,10.842,10.842,10.842,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,56.7,0.017,0.069,0.007,-0.092,0.047,-0.011,0.729,0.258,-0.000,16.324,0.131,-0.028,28.061,16.091,26.91,Not,Targeted,,,,,,,,,,93.14510416666666,-14.257769444444444,1.0,93.13910416666666,-14.257480555555556,,,,,,,0,93.13910416666666,-14.257480555555556,,,,,,,,,,
2009an,12:22:47.400,+65:51:04.49,0.01044,12:22:46.761,+65:50:37.55,3.212,0.16,1.222,1.209,1.222,1.464,1.442,1.464,8.313,8.296,8.316,10.528,10.528,10.536,-22.659,-99.0,-21.214,-11.832,-11.832,-11.832,67.3,-0.008,0.184,-0.024,0.047,0.030,0.005,-1.414,0.099,-0.006,14.266,0.036,-0.007,64.35,27.553,50.76,Targeted,,,,,,,,,,,185.6948375,65.84376388888889,1.0,185.6975,65.85124722222221,185.69491079169302,65.84382967504618,0.9992096623665185,185.70062145252137,65.88621154184287,0.0,2,185.6975,65.85124722222221,7.648078680038452,True,9907740741535464.0,0.009221,0.00046105,9.321149905099446,26.703169833717766,9907740780397780.0,0.587191,0.205369
2006bq,18:39:58.879,+39:58:56.79,0.0219,18:39:58.610,+39:58:54.66,0.636,0.18,1.455,1.455,1.455,1.473,1.473,1.474,9.9,9.9,9.9,10.8,10.8,10.8,-22.665,-22.665,-22.665,-11.764,-11.764,-11.764,43.2,-0.024,0.103,-0.030,0.063,0.028,0.006,-1.706,0.070,-0.021,15.963,0.045,-0.008,39.145,29.018,-54.51,Targeted,,,,,,,,,,,279.9942083333333,39.98185,1.0,279.9953291666666,39.982441666666666,279.9942899037311,39.98178962534792,0.9946201067715746,279.99185666263105,39.98746157275674,0.00537462223787603,2,279.9953291666666,39.982441666666666,8.638836145401001,True,9907734919644648.0,0.018857,0.00544,3.7413465677218483,2.3473487474802823,9907734919644596.0,0.069387,0.141226
17240,00:34:33.829,-01:13:03.29,0.07182,00:34:33.988,-01:12:57.40,3.531,0.2,1.25,1.176,1.464,1.262,1.249,1.303,8.667,8.578,8.962,10.89,10.833,10.891,-99.0,-99.0,-99.0,-9.891,-9.891,-9.891,44.2,-0.175,0.102,0.026,-0.116,0.051,-0.014,-1.454,0.326,-0.015,17.923,0.097,-0.017,10.42,7.606,-61.34,Not,Targeted,,,,,,,,,,8.641616666666666,-1.2159444444444445,1.0,8.640954166666665,-1.2175805555555557,8.641669642448294,-1.2159816805263446,0.9814105917065125,8.64074328732679,-1.2169797962032303,0.018574528695561393,0,8.640954166666665,-1.2175805555555557,2.7918429374694824,True,9906620947632866.0,0.072753,0.00363765,-2.5757128138636176,-5.755950105159879,9906620947632836.0,0.264684,0.186001
2005iq,23:58:32.500,-18:42:33.00,0.03361,23:58:31.816,-18:42:50.11,4.73,0.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.202,8.06,8.274,10.826,10.826,10.826,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,57.9,0.110,0.065,0.024,-0.076,0.028,-0.023,-1.117,0.115,-0.014,16.573,0.032,-0.048,27.349,15.253,-72.48,Targeted,,,,,,,,,,,359.6325666666666,-18.713919444444443,1.0,359.63541666666663,-18.709166666666665,,,,,,,0,359.63541666666663,-18.709166666666665,,,,,,,,,,
1994Q,16:49:51.130,+40:25:55.80,0.02878,16:49:51.141,+40:26:00.70,1.677,0.0,1.215,1.209,1.215,1.222,1.222,1.222,8.704,8.702,8.722,9.945,9.945,9.945,-8.947,-8.99,-8.947,-8.733,-8.733,-8.733,55.0,-0.104,0.099,-0.022,0.062,0.039,0.006,0.836,0.298,0.030,16.132,0.067,-0.007,20.591,12.274,-5.61,Targeted,,,,,,,,,,,252.46308749999994,40.433527777777776,1.0,252.46304166666664,40.43216666666667,252.46316936876832,40.43343840450714,0.9932634033910517,252.46026337236,40.4346694781581,0.00673471733746539,2,252.46304166666664,40.43216666666667,5.8822181224823,True,9907735058448460.0,0.02946,0.0014730000000000001,-0.4597275660444211,-4.578256225713062,9907735058448424.0,0.076018,0.071995
PS15cms,09:58:35.089,+00:44:34.92,0.06656,09:58:35.380,+00:44:34.41,2.007,0.1,1.216,1.209,1.344,0.862,0.861,1.089,8.842,8.826,8.857,10.939,10.819,10.94,-10.539,-10.539,-10.539,-10.647,-10.647,-10.647,52.7,0.033,0.112,-0.021,-0.011,0.043,0.008,1.363,0.345,0.155,17.829,0.048,-0.018,12.496,7.836,57.96,Not,Targeted,,,,,,,,,,149.64741666666666,0.7428916666666666,1.0,149.64620416666665,0.7430333333333333,149.64744389119485,0.742783795679439,0.9819425782467135,149.64762645664078,0.7452673638959537,0.017415909200786762,0,149.64620416666665,0.7430333333333333,7.457824945449829,True,9906621739568576.0,0.064825,0.0032412499999999998,-4.46300830153632,0.898335554019658,9906621739568580.0,0.79655,0.356561
ATLAS17bas,11:07:35.485,+22:51:05.03,0.02327,11:07:35.761,+22:51:08.50,1.497,0.0,1.222,0.917,1.222,1.249,1.209,1.452,9.538,9.537,9.773,10.413,10.343,10.43,-8.412,-8.412,-8.412,-10.475,-10.475,-10.475,42.6,-0.312,0.053,-0.018,0.031,0.032,0.005,0.867,0.134,0.006,15.356,0.039,-0.002,22.508,16.839,-33.08,Not,Targeted,,,,,,,,,,166.89900416666663,22.85236111111111,1.0,166.89785416666663,22.851397222222225,,,,,,,5,166.89785416666663,22.851397222222225,5.933964967727661,False,,,,,,,,
ASASSN-16ay,07:12:14.259,+07:14:22.35,0.02919,07:12:15.117,+07:14:27.93,4.431,0.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.19,8.186,8.193,10.175,10.175,10.176,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,54.5,0.046,0.055,-0.043,0.218,0.035,0.017,1.010,0.181,0.027,16.760,0.054,0.007,22.751,13.725,-65.2,Not,Targeted,,,,,,,,,,108.06298749999999,7.241091666666667,1.0,108.0594125,7.239541666666667,,,,,,,0,108.0594125,7.239541666666667,,,,,,,,,,
2007ae,17:01:51.949,+79:01:54.59,0.06458,17:01:49.374,+79:02:16.17,3.821,0.0,1.363,1.207,1.407,1.089,1.089,1.089,8.305,8.287,8.333,11.392,11.392,11.392,-12.727,-12.727,-12.723,-10.776,-10.776,-10.776,52.6,-0.215,0.066,-0.009,0.010,0.032,0.009,1.635,0.201,0.297,17.552,0.041,-0.024,33.776,21.222,69.79,Targeted,,,,,,,,,,,255.45572499999997,79.037825,1.0,255.4664541666666,79.03183055555556,255.46741804047477,79.03301209181866,0.8422419985963588,255.4551624785446,79.03779718896652,0.15444630734969064,0,255.4664541666666,79.03183055555556,4.509653806686401,False,9907742269047840.0,0.010045,0.027335,-3.469945709377953,-4.253530547174478,9907742269047798.0,0.042263,0.009269
