acceptance_radius import_ZTF import_OSC import_local import_lightcurve reimport_catalog search_radius Pcc_filter Pcc_filter_alternative star_separation star_cut date_range late_phase n_walkers n_steps n_cores model training_days sorting_state clean SMOTE_state clf_state n_estimators max_depth feature_set neighbors recalculate_nature classifier n_samples plot_lightcurve do_observability save_features ra_deg dec_deg transient_source object_name object_name_in ztf_name tns_name object_class g_correct r_correct dust_map red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude model_color late_color late_color10 late_color20 late_color40 late_color60 bright_mjd first_mjd green_brightest red_brightest chi2 host_radius host_separation host_ra host_dec host_Pcc host_magnitude host_magnitude_g host_magnitude_r input_host_g_r host_nature photoz photoz_err specz specz_err best_host redshift redshift_label delta_time deltamag_red deltamag_green absmag input_separation input_size input_magnitude normal_separation true_deltamag_red true_deltamag_green hostless_cut
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 180.715417 44.257611 TNS 2016eay 2016eay -- 2016eay -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7705685 0.09300800877780563 180.715445410685 44.25762691965005 0.004756212812448313 21.34731665936684 21.65920068808498 21.745924599903326 -0.08672391181834627 0.23750000000000002 0.437123 0.129416 nan nan 29.0 0.437123 photoz nan nan nan nan 0.09300800877780563 0.7705685 21.34731665936684 0.1207005071941114 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 307.5580199 -10.95050213 TNS 2016els 2016els -- 2016els -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8413143979006117 0.35773062851015874 307.5580404 -10.95059944 0.016171463678442022 22.680874711452418 23.365577676883245 22.382065249002746 0.9835124278804983 0.05 nan nan nan nan 38.0 nan none nan nan nan nan 0.35773062851015874 0.8413143979006117 22.680874711452418 0.42520445317806044 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 41.10761942 19.17852517 TNS 2016inl 2016inl -- 2016inl -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.6626100620912514 0.49162371547833544 41.10769267 19.17840743 0.013318068882717915 22.940469500291265 23.64765854118822 23.50932176347746 0.13833677771076225 0.5 nan nan nan nan 12.0 nan none nan nan nan nan 0.49162371547833544 0.6626100620912514 22.940469500291265 0.7419502715167513 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 119.71110736 66.12755112 TNS 2016wi 2016wi -- 2016wi -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9978071 0.49050987811558394 119.711436978574 66.1275788688497 0.010345125872994743 21.621038786672674 22.693873521524452 21.799030543929206 0.8948429775952462 0.5166666666666666 0.435847 0.171678 nan nan 30.0 0.435847 photoz nan nan nan nan 0.49050987811558394 0.9978071 21.621038786672674 0.49158788118022406 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 161.924619 26.835057 TNS 2017beq 2017beq -- 2017beq -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9779695493776426 0.2711302111606496 161.92462682 26.83498201 0.04034859005305247 23.53740642257094 23.237083345454785 22.652641005317246 0.5844423401375387 0.75 nan nan nan nan 24.0 nan none nan nan nan nan 0.2711302111606496 0.9779695493776426 23.53740642257094 0.27723788673501204 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 218.67886493 31.48798153 TNS 2017dwh 2017dwh -- 2017dwh -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7883768 9.070793762719283 218.67748835152 31.48575202524645 0.20706029937440218 21.760194011825398 22.932368314129686 22.365362739015996 0.0 0.7416666666666667 0.657056 0.101644 nan nan 27.0 0.657056 photoz nan nan nan nan 0.0 0.0 23.1 0.0 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 154.773417 46.453911 TNS 2017egm 2017egm -- 2017egm -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7.880119 5.082397731036749 154.771388198787 46.454109762175904 0.0015415416146704608 13.617507219932367 14.32959406292046 13.832326775543622 0.4972672873768378 0.9949999999999999 0.0278 0.006992 0.03063256 1.410644e-05 25.0 0.03063256 specz nan nan nan nan 5.082397731036749 7.880119 13.617507219932367 0.6449645914023315 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 181.03903 -1.93118 TNS 2017ens 2017ens -- 2017ens -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.479844 1.901451104265959 181.0395539559945 -1.93124897038393 0.016749335699450918 20.844501197703476 21.936644669696243 21.461393184251797 0.4752514854444456 0.615 0.514789 0.158747 nan nan 28.0 0.514789 photoz nan nan nan nan 1.901451104265959 1.479844 20.844501197703476 1.2848996950124196 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 101.687625 -27.24885 TNS 2017gci 2017gci -- 2017gci -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8907970692835577 0.3043987946039991 101.68757808 -27.24892355 0.007184239183239738 21.477003599794777 22.675090152660157 21.740512330038886 0.9345778226212715 0.25 nan nan nan nan 32.0 nan none nan nan nan nan 0.3043987946039991 0.8907970692835577 21.477003599794777 0.34171508315448124 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 267.302667 25.372481 TNS 2017hbx 2017hbx -- 2017hbx -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.6857109948011297 0.09833786342375334 267.30269685 25.37247667 0.03380189176681292 24.25271758936098 23.554191904333734 23.18607882141987 0.36811308291386524 0.3 nan nan nan nan 36.0 nan none nan nan nan nan 0.09833786342375334 0.6857109948011297 24.25271758936098 0.14341007242019407 nan nan 0.1
